Spectral Response Function Corners, trapezoid
Temperature: Celsius; Spectral Radiance: mW/[m^2 sr micrometer]; Wavelength: micrometer
lambda1:Response 1.0; lambda2:Response 1.0; lambda2:Response 0.0
lambda1: 8.00, lambda2:14.80, lambda3:19.80
TC,L
81.600,20457.320
81.700,20482.780
81.800,20508.250
81.900,20533.750
82.000,20559.260
82.100,20584.790
82.200,20610.340
82.300,20635.910
82.400,20661.490
82.500,20687.090
82.600,20712.720
82.700,20738.360
82.800,20764.020
82.900,20789.690
83.000,20815.390
83.100,20841.100
83.200,20866.840
83.300,20892.590
83.400,20918.360
83.500,20944.150
83.600,20969.950
83.700,20995.780
83.800,21021.620
83.900,21047.490
84.000,21073.370
84.100,21099.260
84.200,21125.180
84.300,21151.120
84.400,21177.070
84.500,21203.050
84.600,21229.040
84.700,21255.050
84.800,21281.070
84.900,21307.120
85.000,21333.190
85.100,21359.270
85.200,21385.370
85.300,21411.490
85.400,21437.630
85.500,21463.790
85.600,21489.960
85.700,21516.160
85.800,21542.370
85.900,21568.600
86.000,21594.850
86.100,21621.120
86.200,21647.410
86.300,21673.710
86.400,21700.030
86.500,21726.380
86.600,21752.740
86.700,21779.120
86.800,21805.510
86.900,21831.930
87.000,21858.360
87.100,21884.820
87.200,21911.290
87.300,21937.780
87.400,21964.290
87.500,21990.810
87.600,22017.360
87.700,22043.920
87.800,22070.500
87.900,22097.100
88.000,22123.720
88.100,22150.360
88.200,22177.010
88.300,22203.690
88.400,22230.380
88.500,22257.090
88.600,22283.820
88.700,22310.570
88.800,22337.340
88.900,22364.120
89.000,22390.930
89.100,22417.750
89.200,22444.590
89.300,22471.450
89.400,22498.330
89.500,22525.220
89.600,22552.140
89.700,22579.070
89.800,22606.020
89.900,22632.990
90.000,22659.980
90.100,22686.990
90.200,22714.010
90.300,22741.050
90.400,22768.120
90.500,22795.200
90.600,22822.300
90.700,22849.410
90.800,22876.550
90.900,22903.700
91.000,22930.880
91.100,22958.070
91.200,22985.280
91.300,23012.510
91.400,23039.750
91.500,23067.020
91.600,23094.300
91.700,23121.610
91.800,23148.930
91.900,23176.270
92.000,23203.620
92.100,23231.000
92.200,23258.400
92.300,23285.810
92.400,23313.240
92.500,23340.690
92.600,23368.160
92.700,23395.650
92.800,23423.150
92.900,23450.680
93.000,23478.220
93.100,23505.780
93.200,23533.360
93.300,23560.960
93.400,23588.570
93.500,23616.210
93.600,23643.860
93.700,23671.530
93.800,23699.220
93.900,23726.930
94.000,23754.660
94.100,23782.410
94.200,23810.170
94.300,23837.950
94.400,23865.750
94.500,23893.570
94.600,23921.410
94.700,23949.270
94.800,23977.140
94.900,24005.040
95.000,24032.950
95.100,24060.880
95.200,24088.830
95.300,24116.800
95.400,24144.780
95.500,24172.790
95.600,24200.810
95.700,24228.850
95.800,24256.910
95.900,24284.990
96.000,24313.090
96.100,24341.200
96.200,24369.340
96.300,24397.490
96.400,24425.660
96.500,24453.850
96.600,24482.060
96.700,24510.280
96.800,24538.530
96.900,24566.790
97.000,24595.070
97.100,24623.370
97.200,24651.690
97.300,24680.030
97.400,24708.380
97.500,24736.760
97.600,24765.150
97.700,24793.560
97.800,24821.990
97.900,24850.440
98.000,24878.900
98.100,24907.390
98.200,24935.890
98.300,24964.410
98.400,24992.950
98.500,25021.510
98.600,25050.090
98.700,25078.680
98.800,25107.300
98.900,25135.930
99.000,25164.580
99.100,25193.250
99.200,25221.940
99.300,25250.640
